CODE,LATITUDE,LONGITUDE,ELEVATION,NETWORK,STATUS,NAME
SA4TX, 31.8247,-101.4264,  792.0,LRSM,Closed,San Angelo
SAA, 35.5500, 133.2333,    2.0,,Closed,Sakai
SAB, 42.6600,  41.8500,  180.0,TIF,Open,Saberio
SABA, 17.6205, -63.2426,  261.0,DBN,Open,Saba
SABC, 20.3800, -75.1900,    0.0,SSNC,Open,Sabaneta
SABG, 43.9312, -60.0084,    0.0,POLR,Open,Sable Island
SABS, 17.6206, -63.2430,  500.0,TRN,Open,Saba (Government School)
SABT, 17.6205, -63.2430,  880.0,,Reserved,Saba
SAC, 37.5825,-122.4172,  207.0,MNLO,Open,San Andreas
SACA, 18.9775, -69.6803,    0.0,SDD,Open,Loma Carmona
SACV, 14.9702, -23.6085,  387.0,,Open,Santiago Island
SAD, 33.7422,  73.0633,  838.0,QUE,Open,Saidpur
SADA, 16.9373,  43.7555, 1120.0,DHMR,Open,Sad`ah
SADC, 34.0810,-118.6650,  732.0,PAS,Open,Saddle Peak
SADO, 44.7694, -79.1417,  243.0,OTT,Open,Sadowa
SADQ, 46.7485, -71.5365,   82.0,OTT,Open,Saint-Augustin-de-Desmaures
SAE, 40.5619,  17.2061,    0.0,ROM,Closed,Statte
SAF, 32.9600,  35.4950,  800.0,,Closed,Safed (Zefat)
SAFT, 41.2398,  32.6872,  406.0,ISK,Open,Safranbolu
SAG, 33.2450, 130.3050,    4.0,JMA,Open,Saga
SAGI, 30.2040,  34.6770,  560.0,GII,Closed,Saggi Highlands
SAH, 39.4033, 140.7717,    0.0,TOH,Open,Sawauchi
SAI, 36.2018, 133.3363,   27.0,JMA,Open,Saigo (Oki)
SAIU, 40.8548,-112.1815, 1384.0,SLC,Open,Southern Antelope Island
SAJV, 10.3648, -71.3511,   65.7,INTV,Open,Sajaritas
SAK, 38.9067, 139.8467,    3.0,JMA,Open,Sakata
SAKL,,,,,Network/Other,Sakhalin Complex Research Institute; Russia
SAL, 45.6075,  10.5261,   77.0,ROM,Open,Salo
SALA, 32.7112,  36.7329, 1670.0,NSSC,Open,Salah
SALAN, 46.1441,   6.9730, 1885.0,ZUR,Open,Lac Salanfe
SALC,  2.9729, -76.6952, 1430.0,UVC,Open,Salvajina
SALF, 42.7600,   1.1894,  900.0,OMPT,Open,Salau
SALI, -2.1863, -80.9908,   50.0,QUI,Open,Salinas
SALJ, 32.0094,  35.6847,  780.0,JSO,Open,Salt
SALM, 11.6500,  78.2000,    0.0,NDI,Open,Salem
SALT, 29.0230,  34.9080,  350.0,RYD,Open,Sultana
SALU, 67.3801,  18.5067,  500.0,UPP,Open,Saltoluokta
SALX, 32.4222,-115.1303,   50.0,ECX,Open,Saltillo
SAM, 39.6733,  66.9900,  704.0,UZBK,Open,Samarqand (Samarkand)
SAMG, 41.6972,  44.8157,  465.0,TIF,Open,Sameba
SAMH, 60.1298,-140.7809, 1140.0,GIA,Open,Samovar Hills
SAML, -8.9488, -63.1832,  101.0,BDF,Open,Samuel
SAMO, 41.6928,  21.1392,  638.0,SKO,Open,Samokov
SAN,-33.4531, -70.6617,  533.0,GUC,Open,Santiago
SAN1, 60.0179,  -1.2392,  150.0,BGS,Open,Sandwick
SANA, 15.2300,  44.1200, 2325.0,DHMR,Open,San`a
SAND,,,,,Network/Other,Sandia Laboratories; Albuquerque; New Mexico
SANT, 36.3710,  25.4590,  540.0,,Open,Santorini
SANV,  9.5010, -69.5360, 1083.0,CAR,Open,Sanarito
SANY, 43.1738, -78.8703,  172.0,PAL,Closed,Sanborn
SANZ, 13.5577, -88.5228,  310.0,CELS,Reserved,
SAO, 36.7640,-121.4472,  317.2,BRK,Open,San Andreas Geological Observatory
SAOF, 43.9864,   7.5553,  600.0,STR,Open,Saorge
SAON, 18.1833, -68.7667,    0.0,SDD,Reserved,Isla Saona
SAP, 43.0583, 141.3317,   18.0,JMA,Open,Sapporo
SAPN, 15.2149, 145.7516,  209.6,SAPN,Open,Saipan
SAR, 43.8733,  18.4283,  725.0,,Open,Sarajevo
SARI,,,,ISK,Reserved,
SARN, 16.7005, 145.7686,    0.0,SAPN,Open,Sarigan
SARO, 44.1848,  10.4015, 1030.0,GEN,Open,Sassorosso
SARP, 31.9215,  72.6718,  183.0,PINS,Open,Sargodha
SAS, 52.1333,-106.6333,  515.0,OTTR,Closed,Saskatoon
SASA, 55.3400,-160.4972,   23.0,PAL,Open,Sand Point
SAT, 37.9667,  69.0333,    0.0,,Closed,Sang-Tuda
SATS, 33.7078,-117.8905, -370.0,USC,Open,Thornton Park
SAU, 40.8197,-112.0731, 1283.0,SLC,Closed,Saltair
SAUG,,,,LDG,Reserved,Saul
SAUI, -7.9826, 131.2988,  110.0,DJA,Open,Saumlaki
SAV,-41.7208, 147.1889,  180.0,TAU,Open,Savannah
SAVI,,,,,Reserved,
SAW, 47.7017,-119.4010,  704.0,SEA,Open,Saint Andrews
SAX, 47.2507,   9.3449, 2500.0,ZUR,Open,Saentis
SAY, 40.1167,  29.3345,  850.0,ISK,Open,Sayfiye
SAZ, 36.9717, -25.1683,    0.0,PDA,Closed,Santa Maria Island
SB-,,,,,Alternate,(Alternate Abbreviation for GRF)
SB1, 31.2100,-105.4378, 1570.0,EPT,Open,Sierra Blanca Array Site 1
SB2, 31.2117,-105.2900, 1379.0,EPT,Open,Sierra Blanca Array Site 2
SB3, 31.0983,-105.2983, 1384.0,EPT,Open,Sierra Blanca Array Site 3
SBA,-77.8489, 166.7574,   20.0,WEL,Open,Scott Base
SBB, 34.6883,-117.8250,  832.0,PAS,Open,Saddle Back Butte
SBC, 34.4408,-119.7149,   61.0,PAS,Open,Santa Barbara
SBCZ,-45.0922, 169.3111,  801.0,WELC,Closed,Sonora Basin
SBD, 50.5653,  -4.6856,  220.0,BKN,Closed,Saint Breward
SBD1, 52.9055,  -3.2585,  489.0,BGS,Open,Bryn Du
SBDP, 32.2997,  70.8072, 1356.0,PINS,Open,Shaikh Budin
SBE, 45.5964,  23.6186,    0.0,BUC,Reserved,Sebes
SBEA, 59.4423,-151.7123,    0.0,PEPP,Open,Susan B. English School
SBES, 48.7683,-122.4150,    0.0,SEA,Open,Silver Beach Elementary School
SBF, 43.8631,   7.4352,  847.0,LDG,Open,Sospel
SBG, 15.1320, -92.0535, 2860.0,GCG,Open,Sibinal
