year,type,gpw
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05174
2008,supercomputer,0.05174
2008,supercomputer,0.05174
2008,supercomputer,0.05174
2008,supercomputer,0.05174
2008,supercomputer,0.05174
2008,supercomputer,0.05173
2008,supercomputer,0.05139
2008,supercomputer,0.05139
2008,supercomputer,0.05101
2008,supercomputer,0.05101
2008,supercomputer,0.05093
2008,supercomputer,0.05074
2008,supercomputer,0.05074
2008,supercomputer,0.05074
2008,supercomputer,0.05074
2008,supercomputer,0.05074
2008,supercomputer,0.05074
2008,supercomputer,0.05074
2008,supercomputer,0.05074
2008,supercomputer,0.05074
2008,supercomputer,0.05074
2008,supercomputer,0.05074
2008,supercomputer,0.05074
2008,supercomputer,0.05074
2008,supercomputer,0.05062
2008,supercomputer,0.04981
2008,supercomputer,0.04974
2008,supercomputer,0.04952
2008,supercomputer,0.04856
2008,supercomputer,0.04797
2008,supercomputer,0.04773
2008,supercomputer,0.04773
2008,supercomputer,0.04765
2008,supercomputer,0.04765
2008,supercomputer,0.04765
2008,supercomputer,0.04765
2008,supercomputer,0.04765
2008,supercomputer,0.04765
2008,supercomputer,0.04765
2008,supercomputer,0.04765
2008,supercomputer,0.04765
2008,supercomputer,0.04765
2008,supercomputer,0.04752
2008,supercomputer,0.04722
2008,supercomputer,0.0461
2008,supercomputer,0.04563
2008,supercomputer,0.04553
2008,supercomputer,0.04533
2008,supercomputer,0.04473
2008,supercomputer,0.04473
2008,supercomputer,0.04414
2008,supercomputer,0.04409
2008,supercomputer,0.04359
2008,supercomputer,0.04275
2008,supercomputer,0.04218
2008,supercomputer,0.04182
2008,supercomputer,0.04127
2008,supercomputer,0.04022
2008,supercomputer,0.04022
2008,supercomputer,0.04004
2008,supercomputer,0.04004
2008,supercomputer,0.04004
2008,supercomputer,0.04004
2008,supercomputer,0.04004
2008,supercomputer,0.04002
2008,supercomputer,0.04002
2008,supercomputer,0.04002
2008,supercomputer,0.04002
2008,supercomputer,0.04002
2008,supercomputer,0.04002
2008,supercomputer,0.04002
2008,supercomputer,0.04002
2008,supercomputer,0.04002
2008,supercomputer,0.03996
2008,supercomputer,0.03954
2008,supercomputer,0.03954
2008,supercomputer,0.03954
2008,supercomputer,0.03954
2008,supercomputer,0.03954
2008,supercomputer,0.03954
2008,supercomputer,0.03954
2008,supercomputer,0.03954
2008,supercomputer,0.03952
2008,supercomputer,0.03947
2008,supercomputer,0.03913
2008,supercomputer,0.03867
2008,supercomputer,0.03863
2008,supercomputer,0.03847
2008,supercomputer,0.03828
2008,supercomputer,0.03784
2008,supercomputer,0.03755
2008,supercomputer,0.0373
2008,supercomputer,0.0373
2008,supercomputer,0.03729
2008,supercomputer,0.03729
2008,supercomputer,0.03723
2008,supercomputer,0.0372
2008,supercomputer,0.03718
